"rank","country","pop2022","GrowthRate","area"
"35","Saint Kitts and Nevis","53.8710","0.0061","261"
"34","Dominica","72.3440","0.0024","751"
"33","Antigua and Barbuda","99.5090","0.0079","442"
"32","Saint Vincent and the Grenadines","111.5510","0.0026","389"
"31","Grenada","113.4750","0.0040","344"
"30","Saint Lucia","185.1130","0.0039","616"
"29","Barbados","288.0230","0.0011","430"
"28","Bahamas","400.5160","0.0091","13943"
"27","Belize","412.1900","0.0180","22966"
"26","Suriname","596.8310","0.0085","163820"
"25","Guyana","794.0450","0.0047","214969"
"24","Trinidad and Tobago","1406.5850","0.0023","5130"
"23","Jamaica","2985.0940","0.0039","10991"
"22","Uruguay","3496.0160","0.0031","181034"
"21","Panama","4446.9640","0.0149","75417"
"20","Costa Rica","5182.3540","0.0084","51100"
"19","El Salvador","6550.3890","0.0049","21041"
"18","Nicaragua","6779.1000","0.0115","130373"
"17","Paraguay","7305.8430","0.0119","406752"
"16","Honduras","10221.2470","0.0157","112492"
"15","Dominican Republic","11056.3700","0.0094","48671"
"14","Cuba","11305.6520","-0.0010","109884"
"13","Haiti","11680.2830","0.0120","27750"
"12","Bolivia","11992.6560","0.0135","1098581"
"11","Ecuador","18113.3610","0.0126","276841"
"10","Guatemala","18584.0390","0.0183","108889"
"9","Chile","19250.1950","0.0020","756102"
"8","Venezuela","29266.9910","0.0196","916445"
"7","Peru","33684.2080","0.0097","1285216"
"6","Canada","38388.4190","0.0084","9984670"
"5","Argentina","46010.2340","0.0089","2780400"
"4","Colombia","51512.7620","0.0048","1141748"
"3","Mexico","131562.7720","0.0100","1964375"
"2","Brazil","215353.5930","0.0064","8515767"
"1","United States","334805.2690","0.0057","9372610"